L;I;C;FuelType;CO;HC;NOx;CO2;O2;Lambda
25;14;0;HVO;0;4;228;3;16.65;0
25;14;0;HVO;0;1;226;3;16.63;0
25;14;0;HVO;0;4;209;2.9;16.89;0
50;14;0;HVO;0;4;358;4.7;14.47;0
50;14;0;HVO;0;3;354;4.7;14.36;0
50;14;0;HVO;0.01;1;359;4.6;14.44;0
75;14;0;HVO;0;2;428;6.6;11.82;0
75;14;0;HVO;0;1;471;6.9;11.49;0
75;14;0;HVO;0;4;459;6.9;11.45;0
50;15;0;HVO;0;5;377;4.7;14.35;0
50;15;0;HVO;0;1;426;4.7;14.4;0
50;15;0;HVO;0;1;445;4.7;14.32;0
50;15;0;HVO;0;1;478;4.6;14.5;0
50;15;0;HVO;0;5;506;4.9;14.11;0
50;15;0;HVO;0;6;616;5.3;13.59;0
50;15;0;HVO;0;2;496;4.8;14.29;0
50;14;50;HVO;0;0;335;4.5;14.42;0
50;15;50;HVO;0;0;360;4.5;14.45;0
50;16;50;HVO;0;0;385;4.5;14.44;0
50;17;50;HVO;0;0;424;4.5;14.4;0
50;18;50;HVO;0;0;477;4.6;14.2;0
50;19;50;HVO;0;0;0;4.4;14.45;0
50;20;50;HVO;0;0;0;4.5;14.38;0
50;14;100;HVO;0;0;449;2.07;17.76;0
50;15;100;HVO;0;0;568;2.11;17.78;0
50;16;100;HVO;0;0;631;2.11;17.75;0
50;17;100;HVO;0;0;659;2.08;17.86;0
50;18;100;HVO;0;0;754;2.21;17.53;0
50;19;100;HVO;0;0;823;2.35;17.42;0
50;20;100;HVO;0;0;933;2.29;17.44;0
50;14;20;HVO;0;2;361;4.4;14.61;0
50;15;20;HVO;0;1;384;4.2;14.80;0
50;16;20;HVO;0;2;473;4.8;14.20;0
50;17;20;HVO;0;2;459;4.4;14.65;0
50;18;20;HVO;0;2;506;4.4;14.63;0
50;19;20;HVO;0;2;534;4.4;14.69;0
50;14;50;GTL;0;0;184;0.73;19.81;0
50;16;50;GTL;0;0;190;0.71;19.88;0
50;18;50;GTL;0;0;161;0.65;19.97;0
50;20;50;GTL;0;0;163;0.62;20.01;0
50;14;100;GTL;0.01;0;260;4.10;14.84;0
50;16;100;GTL;0.01;0;357;4.20;14.75;0
50;18;100;GTL;0.01;0;438;4.4;14.52;0
50;20;100;GTL;0.01;0;518;4.3;14.50;0
50;14;60;HVO;0;0;335;4.5;14.42;0
50;15;60;HVO;0;0;360;4.5;14.45;0
50;16;60;HVO;0;0;385;4.5;14.44;0
50;17;60;HVO;0;0;424;4.5;14.4;0
50;18;60;HVO;0;0;477;4.6;14.2;0
